name	lat	lon	einwohner	typ
temnitz	52.933333	12.666667	5742	Amt
flensburg	54.78047	9.43522	86006	Stadt
kiel	54.3226843669499	10.1358638465405	233620	Landeshauptstadt
lübeck	53.86956	10.68713	212095	Hansestadt
neumünster, holstein	54.07402	9.984512	78128	Stadt
dithmarschen	54.1474367521367521	9.111395811965812	137390	Kreis
brunsbüttel	53.897863	9.128617	13789	Stadt
heide / holstein	54.19573	9.09109	20716	Stadt
marne, holstein	53.9511274906169	9.00880578749451	6018	Stadt
meldorf (holstein)	54.09195	9.06927	7655	Stadt
wesselburen	54.2119	8.92084	3112	Stadt
herzogtum lauenburg	53.6013265151515152	10.586605303030303	186255	Kreis
geesthacht	53.43018	10.3741	29403	Stadt
lauenburg / elbe	53.37582	10.54703	11671	Stadt
mölln, kreis herzogtum lauenburg	53.63001	10.69269	18499	Stadt
ratzeburg	53.69955	10.7596	13785	Stadt
schwarzenbek	53.50177	10.47992	14864	Stadt
nordfriesland	54.635423	8.724075	167279	Kreis
bredstedt	54.6172170716186	8.97173076868058	5089	Stadt
friedrichstadt an der eider	54.3750907340393	9.0913538370846	2468	Stadt
garding, kirchspiel	54.3186023078094	8.77934989674094	331	Kirchspiel
garding	54.3284176784701	8.78681403739442	2667	Stadt
husum, nordsee	54.4852810364947	9.05329324448649	21000	Stadt
niebüll (schleswig)	54.7881584621	8.82960150992	9183	Stadt
tönning (nordseebad)	54.3180909829608	8.93713844163407	5059	Stadt
westerland	54.907748	8.308755	9078	Stadt
wyk auf föhr	54.6875716901	8.55363690908	4438	Stadt
ostholstein	54.1766628571428571	10.84762	206449	Kreis
bad schwartau	53.92105	10.67955	19741	Stadt
eutin	54.13765	10.61616	17256	Stadt
heiligenhafen, holstein	54.37243	10.97918	9331	Stadt
neustadt in holstein	54.10685	10.81353	16615	Stadt
oldenburg in holstein	54.2916939035514	10.8867433692694	9919	Stadt
fehmarn	54.43555	11.19698	12909	Stadt
pinneberg	53.7278938775510204	9.6979597959183673	298799	Kreis
barmstedt	53.7893682107897	9.77226791126724	9475	Stadt
elmshorn	53.7552973008561	9.65623957259651	48317	Stadt
pinneberg	53.66282	9.79665	41289	Stadt
quickborn, kreis pinneberg	53.73186	9.90396	20281	Stadt
schenefeld bei hamburg	53.60085	9.82257	17802	Stadt
tornesch	53.6973296003241	9.71218419415956	12876	Stadt
uetersen	53.6934006954926	9.65420891685491	17871	Stadt
wedel	53.58367	9.69817	31875	Stadt
plön	54.1591308763995	10.4112556338311	135758	Kreis
lütjenburg, holstein	54.2920491150787	10.5901992082596	5720	Stadt
plön / holstein	54.1600017261745	10.4108647018672	12944	Stadt
preetz, holstein	54.2328439233796	10.2705435961485	15807	Stadt
rendsburg-eckernförde	54.279116265060241	9.7886560240963855	273041	Kreis
büdelsdorf	54.31408	9.66324	10245	Stadt
eckernförde	54.4707802668	9.83461322188	23172	Stadt
nortorf bei neumünster	54.168813001762	9.85476680243567	6422	Stadt
rendsburg	54.3038030030323	9.66985793467046	28387	Stadt
schleswig-flensburg	54.6310970149253731	9.5559700746268657	199751	Kreis
arnis	54.63036	9.93159	307	Stadt
kappeln, schlei	54.6590711176	9.93132965564	9840	Stadt
schleswig	54.51808	9.57038	24175	Stadt
glücksburg (ostsee)	54.834154633012	9.54751448929308	5997	Stadt
segeberg	53.9232287234042553	10.161231170212766	256671	Kreis
bad bramstedt	53.9208930540248	9.88168272431375	13342	Stadt
bad segeberg	53.938233	10.305231	15975	Stadt
kaltenkirchen, holstein	53.83914	9.96024	19691	Stadt
norderstedt	53.67359	9.9857	71284	Stadt
wahlstedt	53.95291	10.21456	9391	Stadt
steinburg	53.9409342105263158	9.5157895614035088	136673	Kreis
glückstadt	53.788403	9.423933	11885	Stadt
itzehoe	53.926752	9.5127	33221	Stadt
kellinghusen	53.951976	9.719642	8037	Stadt
krempe, holstein	53.836656	9.489853	2442	Stadt
wilster	53.922248	9.374704	4427	Stadt
stormarn	53.7215127272727273	10.3586145454545455	224290	Kreis
ahrensburg	53.67579	10.23845	30134	Stadt
bad oldesloe	53.80803	10.37341	24035	Stadt
bargteheide	53.7335	10.26927	13973	Stadt
glinde, kreis stormarn	53.540731	10.211394	16039	Stadt
reinbek	53.51072	10.24831	25598	Stadt
reinfeld (holstein)	53.82494	10.49315	8451	Stadt
hamburg	53.554423	9.994583	1734830	Freie und Hansestadt
bergedorf	53.4829909938915	10.2175161163329	41019	Stadtteil
hausbruch	53.47085	9.88847	17009	Stadtteil
braunschweig	52.26902	10.5259599999999	245872	Stadt
salzgitter	52.14978	10.33673	98095	Stadt
wolfsburg	52.43788	10.7663700000001	122148	Stadt
brome, niedersachsen	52.6005	10.93559	3232	Flecken
gifhorn	52.47827	10.54901	42634	Stadt
wittingen, niedersachsen	52.72888	10.7352100000001	12383	Stadt
adelebsen	51.5806701	9.75397999999996	7086	Flecken
bovenden	51.59004	9.93277999999998	13406	Flecken
dransfeld	51.50048	9.76157000000001	4336	Stadt
duderstadt, niedersachsen	51.51214	10.25162	22833	Stadt
gieboldehausen	51.60706	10.21925	4144	Flecken
göttingen	51.53738	9.92923999999994	122187	Stadt
hann. münden	51.4201	9.65547000000004	25173	Stadt
altenau, harz	51.8026007674846	10.446395111084	2146	Bergstadt
bad harzburg	51.89980	10.56220	22817	Stadt
braunlage	51.72513	10.61041	5348	Stadt
clausthal-zellerfeld	51.8093939012619	10.3399089630127	15413	Bergstadt
goslar	51.90839	10.4468091534424	43422	Stadt
langelsheim	51.93581	10.3324700000001	13366	Stadt
lutter am barenberge	51.9896430339885	10.2677299682618	2529	Flecken
sankt andreasberg	51.71323	10.5168	2194	Bergstadt
seesen, harz	51.8894	10.17725	21902	Stadt
vienenburg	51.95167	10.55764	11521	Stadt
wildemann	51.82898	10.28248	1190	Bergstadt
helmstedt	52.22944	11.00902	25586	Stadt
königslutter am elm	52.25248	10.8140100000001	16582	Stadt
schöningen	52.13791	10.96572	13570	Stadt
bad gandersheim	51.870662	10.024588	11154	Stadt
bodenfelde	51.63971	9.55738999999994	3679	Flecken
dassel, solling	51.80087	9.68829000000005	11409	Stadt
einbeck	51.82072	9.86814000000004	27997	Stadt
hardegsen	51.65279	9.82824000000005	8606	Stadt
moringen	51.69903	9.8691	7596	Stadt
nörten-hardenberg	51.62582	9.93538999999998	8614	Flecken
northeim	51.7005131180301	9.99606332275391	30973	Stadt
uslar	51.66051	9.63797999999997	16130	Stadt
bad grund (harz)	51.80965	10.2375099999999	2665	Bergstadt
bad lauterberg im harz	51.62533	10.4615	12023	Stadt
bad sachsa	51.5968435140671	10.5559258306885	8335	Stadt
